Time of A;Time minus avg Time of A;Time of B;Time minus avg Time of B;Avg time of A & B;Payment A;Payment B;Fact.A Time of A;Fact.A Time minus avg Time of A;Fact.A Time of B;Fact.A Time minus avg Time of B;Fact.A Avg time of A & B;Fact.A Payment A;Fact.A Payment B;Fact.B Time of A;Fact.B Time minus avg Time of A;Fact.B Time of B;Fact.B Time minus avg Time of B;Fact.B Avg time of A & B;Fact.B Payment A;Fact.B Payment B
1697.0;-1034.0;7410.0;313.0;-360.5;673.5;-673.5;1697000.0;1694269.0;7410.0;313.0;847291.0;-846978.0;846978.0;1697.0;-1034.0;7410000.0;7402903.0;3700934.5;3701968.5;-3701968.5
1784.0;-947.0;7349.0;252.0;-347.5;599.5;-599.5;1784000.0;1781269.0;7349.0;252.0;890760.5;-890508.5;890508.5;1784.0;-947.0;7349000.0;7341903.0;3670478.0;3671425.0;-3671425.0
5025.0;2294.0;6499.0;-598.0;848.0;-1446.0;1446.0;5025000.0;5022269.0;6499.0;-598.0;2510835.5;-2511433.5;2511433.5;5025.0;2294.0;6499000.0;6491903.0;3247098.5;3244804.5;-3244804.5
1398.0;-1333.0;7805.0;708.0;-312.5;1020.5;-1020.5;1398000.0;1395269.0;7805.0;708.0;697988.5;-697280.5;697280.5;1398.0;-1333.0;7805000.0;7797903.0;3898285.0;3899618.0;-3899618.0
2168.0;-563.0;7090.0;-7.0;-285.0;278.0;-278.0;2168000.0;2165269.0;7090.0;-7.0;1082631.0;-1082638.0;1082638.0;2168.0;-563.0;7090000.0;7082903.0;3541170.0;3541733.0;-3541733.0
1994.0;-737.0;7197.0;100.0;-318.5;418.5;-418.5;1994000.0;1991269.0;7197.0;100.0;995684.5;-995584.5;995584.5;1994.0;-737.0;7197000.0;7189903.0;3594583.0;3595320.0;-3595320.0
1549.0;-1182.0;7584.0;487.0;-347.5;834.5;-834.5;1549000.0;1546269.0;7584.0;487.0;773378.0;-772891.0;772891.0;1549.0;-1182.0;7584000.0;7576903.0;3787860.5;3789042.5;-3789042.5
3119.0;388.0;6774.0;-323.0;32.5;-355.5;355.5;3119000.0;3116269.0;6774.0;-323.0;1557973.0;-1558296.0;1558296.0;3119.0;388.0;6774000.0;6766903.0;3383645.5;3383257.5;-3383257.5
2855.0;124.0;6832.0;-265.0;-70.5;-194.5;194.5;2855000.0;2852269.0;6832.0;-265.0;1426002.0;-1426267.0;1426267.0;2855.0;124.0;6832000.0;6824903.0;3412513.5;3412389.5;-3412389.5
5085.0;2354.0;6490.0;-607.0;873.5;-1480.5;1480.5;5085000.0;5082269.0;6490.0;-607.0;2540831.0;-2541438.0;2541438.0;5085.0;2354.0;6490000.0;6482903.0;3242628.5;3240274.5;-3240274.5
3175.0;444.0;6761.0;-336.0;54.0;-390.0;390.0;3175000.0;3172269.0;6761.0;-336.0;1585966.5;-1586302.5;1586302.5;3175.0;444.0;6761000.0;6753903.0;3377173.5;3376729.5;-3376729.5
1243.0;-1488.0;8164.0;1067.0;-210.5;1277.5;-1277.5;1243000.0;1240269.0;8164.0;1067.0;620668.0;-619601.0;619601.0;1243.0;-1488.0;8164000.0;8156903.0;4077707.5;4079195.5;-4079195.5
1806.0;-925.0;7320.0;223.0;-351.0;574.0;-574.0;1806000.0;1803269.0;7320.0;223.0;901746.0;-901523.0;901523.0;1806.0;-925.0;7320000.0;7312903.0;3655989.0;3656914.0;-3656914.0
2260.0;-471.0;7046.0;-51.0;-261.0;210.0;-210.0;2260000.0;2257269.0;7046.0;-51.0;1128609.0;-1128660.0;1128660.0;2260.0;-471.0;7046000.0;7038903.0;3519216.0;3519687.0;-3519687.0
2427.0;-304.0;6979.0;-118.0;-211.0;93.0;-93.0;2427000.0;2424269.0;6979.0;-118.0;1212075.5;-1212193.5;1212193.5;2427.0;-304.0;6979000.0;6971903.0;3485799.5;3486103.5;-3486103.5
1427.0;-1304.0;7773.0;676.0;-314.0;990.0;-990.0;1427000.0;1424269.0;7773.0;676.0;712472.5;-711796.5;711796.5;1427.0;-1304.0;7773000.0;7765903.0;3882299.5;3883603.5;-3883603.5
1859.0;-872.0;7287.0;190.0;-341.0;531.0;-531.0;1859000.0;1856269.0;7287.0;190.0;928229.5;-928039.5;928039.5;1859.0;-872.0;7287000.0;7279903.0;3639515.5;3640387.5;-3640387.5
4643.0;1912.0;6545.0;-552.0;680.0;-1232.0;1232.0;4643000.0;4640269.0;6545.0;-552.0;2319858.5;-2320410.5;2320410.5;4643.0;1912.0;6545000.0;6537903.0;3269907.5;3267995.5;-3267995.5
2931.0;200.0;6822.0;-275.0;-37.5;-237.5;237.5;2931000.0;2928269.0;6822.0;-275.0;1463997.0;-1464272.0;1464272.0;2931.0;200.0;6822000.0;6814903.0;3407551.5;3407351.5;-3407351.5
3029.0;298.0;6796.0;-301.0;-1.5;-299.5;299.5;3029000.0;3026269.0;6796.0;-301.0;1512984.0;-1513285.0;1513285.0;3029.0;298.0;6796000.0;6788903.0;3394600.5;3394302.5;-3394302.5
4491.0;1760.0;6556.0;-541.0;609.5;-1150.5;1150.5;4491000.0;4488269.0;6556.0;-541.0;2243864.0;-2244405.0;2244405.0;4491.0;1760.0;6556000.0;6548903.0;3275331.5;3273571.5;-3273571.5
